NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 74001001;ABONDANCE;46.284500;6.734167;947;19470127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19470222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
